food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf,is_featured
142198,23036,Buttermilk Crispy Chicken Tenders Pressure Fried (2 piece),1 Order,240,12,2,0,55,710,11,0,0,21,0,0,0,0,0,0,0,0
142199,23036,Buttermilk Crispy Chicken Tenders Pressure Fried (6 piece),1 Order,710,36,5,0,170,2140,34,1,0,63,0,0,0,0,0,0,0,0
142200,23036,Buttermilk Crispy Chicken Tenders Pressure Fried (20 piece),1 Order,2380,121,18,1,560,7130,112,2,1,210,0,0,0,0,0,0,0,0
142201,23036,Buffalo Bacon Artisan Grilled Chicken on Artisan Roll,1 Order,520,17,5,0,125,1710,45,3,11,45,0,0,0,0,0,0,0,0
142202,23036,Swiss Mushroom Melt Buttermilk Crispy Chicken on Artisan Roll,1 Order,700,32,12,0.5,105,1120,66,5,11,37,0,0,0,0,0,0,0,0
142203,23036,Swiss Mushroom Melt Artisan Grilled on Artisan Roll,1 Order,540,19,10,0.5,140,1240,47,3,12,46,0,0,0,0,0,0,0,0
142204,23036,Buffalo Bacon Buttermilk Crispy Chicken on Artisan Roll,1 Order,680,31,7,0,90,1600,64,4,11,36,0,0,0,0,0,0,0,0
142205,23036,Classic Chicken Sandwich,1 Order,510,24,4,0,65,1040,49,3,6,25,0,0,0,0,0,0,0,0
142206,23036,Ranch Snack Wrap Buttermilk Chicken Tender,1 Order,360,19,5,0,45,870,31,1,2,16,0,0,0,0,0,0,0,0
142207,23036,Bacon Smokehouse Buttermilk Crispy Chicken on Artisan Roll,1 Order,920,45,12,0.5,120,1980,81,4,18,46,0,0,0,0,0,0,0,0
142208,23036,Bacon Smokehouse Artisan Grilled Chicken on Artisan Roll,1 Order,750,31,10,0.5,155,1940,62,2,18,55,0,0,0,0,0,0,0,0
142209,23037,Fruit 'n Yogurt Parfait with Chobani,1 Order,120,0.5,0,0,5,65,21,1,16,8,0,0,0,0,1,0,1,0
142210,23037,Apple Slices,1 Order,15,0,0,0,0,0,4,0,3,0,0,0,0,1,1,1,0,0
142211,23037,Side Salad,1 Order,15,0,0,0,0,15,3,1,1,1,0,0,0,1,1,0,0,0
142212,23037,Large French Fries,1 Order,510,24,3.5,0,0,350,66,6,0,7,0,0,0,1,0,0,0,0
142213,23037,Kids Fries,1 Order,110,5,1,0,0,80,15,1,0,1,0,0,0,0,0,0,0,0
142214,23037,Ranch Snack Wrap (Buttermilk Crispy),1 Order,380,20,6,0,45,830,34,2,2,16,0,0,0,0,0,0,0,0
142215,23037,Ranch Snack Wrap (Grilled),1 Order,300,13,4.5,0,65,890,25,1,2,21,0,0,0,0,0,0,0,0
142216,23037,Mac Snack Wrap,1 Order,340,20,7,1,50,660,26,2,2,15,0,0,0,0,0,0,0,0
142217,23037,Go-GURT Strawberry Flavored Low Fat Yogurt Tube,1 Order,50,0.5,0,0,5,30,8,0,6,3,0,0,0,0,0,0,0,0
142218,23037,Mozzarella Sticks (3 Piece),1 Order,190,10,4,0,20,460,18,1,1,8,0,0,0,0,0,0,0,0
142219,23037,Basket of Fries,1 Order,670,32,4.5,0,0,460,87,8,0,9,0,0,0,1,0,0,0,0
142220,23037,Pineapple Side,1 Order,60,0,0,0,0,0,15,2,11,1,0,0,0,0,0,0,0,0
142221,23037,McCheddar Potato Bites (12 piece),1 Order,400,20,5,0,15,1070,47,3,3,9,0,0,0,0,0,0,0,0
142222,23037,Popcorn (Large),1 Order,500,33,3,0,0,1250,45,3,0,6,0,0,0,0,0,0,0,0
142223,23037,Medium French Fries,1 Order,340,16,2,0,0,230,44,4,0,4,0,0,0,1,0,0,0,0
142224,23037,Portuguese Sausage Side Order,1 Order,220,19,7,0,50,570,2,0,1,10,0,0,0,0,0,0,0,0
#REF!,23037,Popcorn (Small),1 Order,230,15,1.5,0,0,580,21,1,0,3,0,0,0,0,0,0,0,0
#REF!,23037,McCheddar Potato Bites (8 piece),1 Order,270,13,3.5,0,10,710,31,2,2,6,0,0,0,0,0,0,0,0
#REF!,23037,Gourmet Twist Hot Pretzel with Butter Salt,1 Order,450,4.5,0,0,0,960,85,3,3,12,0,0,0,0,0,0,0,0
#REF!,23037,Plain Gourmet Pretzel Twist,1 Order,440,3.5,0,0,0,460,85,3,3,12,0,0,0,0,0,0,0,0
#REF!,23037,Gilroy Garlic Fries (Large),1 Order,600,31,6,0,0,620,70,7,1,10,0,0,0,0,0,0,0,0
#REF!,23037,Gilroy Garlic Fries (Medium),1 Order,420,23,4.5,0,0,500,48,5,1,8,0,0,0,0,0,0,0,0
#REF!,23037,Fruit 'N Yogurt Parfait (Large),1 Order,300,4.5,2.5,0,15,110,58,1,45,8,0,0,0,0,0,0,0,0
#REF!,23037,Cheese Curds,1 Order,440,30,15,1,80,970,18,2,1,24,0,0,0,0,0,0,0,0
#REF!,23042,Signature Sriracha Burger on Artisan Roll,1 Order,680,35,13,1.5,95,1040,57,3,13,32,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Burger on Sesame Seed Bun,1 Order,700,38,14,1.5,110,1310,52,3,14,38,0,0,0,0,0,0,0,0
